Opt.,Const.,of,B-Spline,vs.,nm
Wavelength_(nm),n_5_gold,k_5_gold,n_20_Pd,k_20_Pd,n_MS_9_to_17,k_MS_9_to_17
564.000000,0.052204,2.908292,1.816691,4.007569,2.008647,3.713807,
565.000000,0.049539,2.923209,1.819397,4.013114,2.010594,3.718977,
566.000000,0.046971,2.938062,1.822099,4.018653,2.012540,3.724143,
567.000000,0.044499,2.952851,1.824796,4.024188,2.014483,3.729305,
568.000000,0.042120,2.967577,1.827488,4.029717,2.016424,3.734463,
569.000000,0.039833,2.982237,1.830175,4.035242,2.018363,3.739618,
570.000000,0.037637,2.996833,1.832857,4.040762,2.020300,3.744770,
571.000000,0.035531,3.011365,1.835533,4.046278,2.022233,3.749918,
572.000000,0.033512,3.025831,1.838205,4.051791,2.024164,3.755063,
573.000000,0.031581,3.040231,1.840871,4.057299,2.026093,3.760205,
574.000000,0.029735,3.054565,1.843531,4.062803,2.028017,3.765343,
575.000000,0.027973,3.068832,1.846186,4.068304,2.029939,3.770479,
576.000000,0.026293,3.083030,1.848835,4.073802,2.031857,3.775613,
577.000000,0.024696,3.097157,1.851479,4.079298,2.033771,3.780745,
578.000000,0.023176,3.111213,1.854117,4.084792,2.035681,3.785875,
579.000000,0.021732,3.125195,1.856750,4.090284,2.037588,3.791004,
580.000000,0.020360,3.139104,1.859377,4.095776,2.039491,3.796133,
581.000000,0.019058,3.152939,1.862000,4.101267,2.041391,3.801261,
582.000000,0.017822,3.166700,1.864619,4.106758,2.043288,3.806389,
583.000000,0.016651,3.180387,1.867235,4.112249,2.045182,3.811517,
